STT,intent,question,answer,loai_muc_dich,chu_de_thong_bao
TB_1252,muc_dich,"Theo Thông báo số 1252, tôi cần thực hiện nhiệm vụ gì liên quan đến ngân hàng đề thi học kỳ I? ","Theo Thông báo số 1252 ban hành vào ngày 29/12/2023. Bạn cần báo cáo kết quả xây dựng ngân hàng đề thi kết thúc học phần học kỳ I, năm học 2023–2024 (áp dụng từ 29/12/2023 đến 15/01/2024).",yeu_cau,null
TB_1252,thoi_gian,Thông báo số 1252 có yêu cầu lập kế hoạch cho ngân hàng đề thi học kỳ II không?,"Theo Thông báo số 1252 ban hành ngày 29/12/2023, bạn cần lập kế hoạch xây dựng ngân hàng đề thi kết thúc học phần học kỳ II, năm học 2023–2024 theo yêu cầu (áp dụng từ 29/12/2023 đến 15/01/2024).",yeu_cau,null
TB_1252,dia_diem,"Theo Thông báo số 1252, tôi cần nộp báo cáo và kế hoạch ngân hàng đề thi tại đâu?","Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, bạn cần gửi báo cáo và kế hoạch về Phòng Bảo đảm chất lượng và Khảo thí, Trường Đại học Bình Dương.,Bạn cần gửi báo cáo và kế hoạch về Phòng Bảo đảm chất lượng và Khảo thí, Trường Đại học Bình Dương (áp dụng từ 29/12/2023 đến 15/01/2024).",yeu_cau,null
TB_1252,doi_tuong,"Theo Thông báo số 1252, tôi gửi file báo cáo ngân hàng đề thi cho ai phụ trách?","Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, bạn gửi cho ông Lại Đức Khâm – cán bộ Phòng Bảo đảm chất lượng và Khảo thí, Trường Đại học Bình Dương.,Gửi cho ông Lại Đức Khâm – cán bộ Phòng Bảo đảm chất lượng và Khảo thí, Trường Đại học Bình Dương (áp dụng từ 29/12/2023 đến 15/01/2024).",yeu_cau,null
TB_1252,dia_diem,Địa chỉ email để gửi file mềm báo cáo và kế hoạch ngân hàng đề thi theo Thông báo số 1252 là gì?,"Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, bạn gửi file mềm qua địa chỉ email: ldkham@bdu.edu.vn.,Gửi file mềm qua địa chỉ email: ldkham@bdu.edu.vn (áp dụng từ 29/12/2023 đến 15/01/2024).",yeu_cau,null
TB_1252,thoi_han_cuoi,Hạn cuối cùng để nộp báo cáo kết quả và kế hoạch xây dựng ngân hàng đề thi theo Thông báo số 1252 là khi nào?,"Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, bạn cần nộp trước ngày 15/01/2024.,Nộp trước ngày 15/01/2024 (áp dụng từ 29/12/2023 đến 15/01/2024).",yeu_cau,null
TB_1252,dia_diem,Thông báo số 1252 căn cứ trên những văn bản nào của Trường Đại học Bình Dương?,"Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, Thông báo số 1252 căn cứ trên Quyết định số 1768/QĐ-ĐHBD ngày 28/12/2022 và Kế hoạch số 750/KH-ĐHBD ngày 09/08/2023 của Trường Đại học Bình Dương.,Thông báo căn cứ trên Quyết định số 1768/QĐ-ĐHBD ngày 28/12/2022 và Kế hoạch số 750/KH-ĐHBD ngày 09/08/2023 (áp dụng từ 29/12/2023 đến 15/01/2024).",yeu_cau,null
TB_1252,muc_dich,"Sau khi nộp báo cáo và kế hoạch, đơn vị tôi có cần thực hiện gì thêm theo Thông báo số 1252 không?","Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, sau khi nộp, các Khoa, Viện, Trung tâm và Phòng chức năng cần tiếp tục phối hợp với Trường để triển khai thực hiện các nội dung xây dựng ngân hàng đề thi theo kế hoạch.,Sau khi nộp, các đơn vị cần tiếp tục phối hợp triển khai xây dựng ngân hàng đề thi theo kế hoạch (áp dụng từ 29/12/2023 đến 15/01/2024).",yeu_cau,null
TB_1252,muc_dich,Ai là người ký ban hành Thông báo số 1252 về báo cáo và kế hoạch ngân hàng đề thi?,"Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, TS. Đỗ Đoan Trang – Phó Hiệu trưởng thường trực Trường Đại học Bình Dương là người ký ban hành Thông báo số 1252.,TS. Đỗ Đoan Trang – Phó Hiệu trưởng thường trực là người ký ban hành văn bản (áp dụng từ 29/12/2023 đến 15/01/2024).",yeu_cau,null
TB_1252,thoi_gian,Thông báo số 1252 về báo cáo kết quả và kế hoạch xây dựng ngân hàng đề thi được ban hành vào ngày nào?,"Theo Thông báo số 1252 ban hành vào ngày 29/12/2023, Thông báo số 1252 được ban hành vào ngày 29 tháng 12 năm 2023.,Thông báo được ban hành vào ngày 29/12/2023 (áp dụng từ 29/12/2023 đến 15/01/2024).",yeu_cau,null
TB_746,thoi_gian,"Theo Thông báo số 746, giảng viên cơ hữu cần thống kê nhiệm vụ trong khoảng thời gian nào của năm học 2023–2024?	
","Theo Thông báo số 746 ban hành ngày 9/7/2024, giảng viên cơ hữu cần thống kê nhiệm vụ trong khoảng thời gian từ ngày 01/9/2023 đến hết ngày 31/8/2024. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
TB_746,muc_dich,"Theo Thông báo số 746, giảng viên không kê khai nhiệm vụ sẽ bị xử lý như thế nào?","Theo Thông báo số 746 ban hành ngày 9/7/2024, nếu giảng viên không kê khai khối lượng nhiệm vụ của năm học 2023–2024 trước thời hạn, sẽ bị xem là không có phát sinh nhiệm vụ và thiếu giờ nghĩa vụ; Nhà trường sẽ thực hiện các biện pháp xử lý khắc phục theo quy định hiện hành. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
TB_746,thoi_han_cuoi,"Theo Thông báo số 746, hạn chót để các đơn vị gửi bản kê khai nhiệm vụ giảng viên cơ hữu về Phòng Quản lý đào tạo và Công tác sinh viên là khi nào?","Theo Thông báo số 746 ban hành ngày 9/7/2024, hạn chót là trước 16h00 ngày 23/7/2024; các đơn vị phải nộp bản giấy có chữ ký và danh sách tổng hợp về Phòng Quản lý đào tạo và Công tác sinh viên, đồng thời gửi bản điện tử qua email: daotao@bdu.edu.vn. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
TB_746,dia_diem,"Theo Thông báo số 746, giảng viên cần khai báo minh chứng nghiên cứu khoa học ở đâu?","Theo Thông báo số 746 ban hành ngày 9/7/2024, giảng viên cần khai báo minh chứng nghiên cứu khoa học qua đường link: https://forms.gle/T7RfxRU8mBAC8aLr7. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
TB_746,muc_dich,"Theo Thông báo số 746, đơn vị nào chịu trách nhiệm kiểm tra và công khai dữ liệu nhiệm vụ giảng viên?","Theo Thông báo số 746 ban hành ngày 9/7/2024, Phòng Quản lý đào tạo và Công tác sinh viên chịu trách nhiệm kiểm tra, tổng hợp và công khai dữ liệu sơ bộ trên hệ thống quản lý văn bản nội bộ của Nhà trường trước 16h00 ngày 09/8/2024. (áp dụng từ 01/9/2023 đến 31/8/2024)",yeu_cau,null
